,Unnamed: 0,id,created_at,username,location,following,followers,retweetcount,text,azure_polar,azure_class,blob_polar,blob_subj
29,29,1496630629924061186,2022-02-23 23:38:42+00:00,LeeBarnhart3,United States,571,633,2,Such a sad time for the world lets hope tragedy can yet be averted Ukraine UkraineRussia Russia Putin USA,-0.96,negative,-0.25,0.75
30,30,1496630255896961026,2022-02-23 23:37:13+00:00,ernesto2329,Donde dios lo decida,284,224,1,No war in Ukraine UkraineRussiaCrisis ukraine Russia putin ukrainerussia Peace,-0.32,negative,0.0,0.0
33,33,1496630000916869121,2022-02-23 23:36:12+00:00,nancepant,"Boston, MA",1779,365,5,UkraineRussia President Zelensky appealed directly to the Russian people by asking them to tell Putin no war Meanwhile Putin has closed the airspace in North Eastern Ukraine,0.35,positive,0.0,0.16666666666666666
35,35,1496629927654793223,2022-02-23 23:35:55+00:00,sibelmann,Seattle,456,147,0,if russians dont support it it wouldnt happen whyre the russians not protesting against their maniac leader UkraineRussia,-1.0,negative,0.0,0.0
44,44,1496628917179924480,2022-02-23 23:31:54+00:00,Bugra_Officiale,"Istanbul, Türkiye - World",1160,581,0,A major war in Europe could soon be started by Russia says Ukrainian President Zelensky UkraineRussia UkraineRussiaCrisis,-1.0,negative,0.0625,0.5
45,45,1496628871050973189,2022-02-23 23:31:43+00:00,Iceman_cometh1,London,4999,3827,462,Followed yet by another Sergei Secretary of Defense Sergei Shoigu clocking in at 1246 OSINT UkraineRussia Russia Ukraine,-0.18,neutral,0.0,0.0
57,57,1496627435097391108,2022-02-23 23:26:01+00:00,Jackcoall,Born in the belly of the beast,644,677,17,Excellent short thread on UkraineRussiaNo Russia is not the aggressor Its the USNATOukrainerussia PutinSpeech,0.99,positive,0.5,0.65
69,69,1496626105947766784,2022-02-23 23:20:44+00:00,twinstatesnews,"Meridian, MS",215,472,6,Ukrainian President Volodymyr Zelensky addressing Russian people before it is too late Said he tried to reach Putin today but he wouldnt take the call Countered all allegations against Ukraine made by Russiafrom them being Nazis to attacking the Donbas UkraineRussia,-1.0,negative,-0.15,0.3
75,75,1496625594267799561,2022-02-23 23:18:42+00:00,kim9973,,3544,2490,2,THE WEST IS IN WAR MODE AND TRUTH IS THE VERY FIRST CASUALTYDonbass Donbas Donetsk Lugansk Luhansk Putin Moscow Russia Ukraine UkraineRussie UkraineConflict UkraineCrisis UkraineRussia UkraineRussiaConflict RussiaUkraineCrisis War Lies,-1.0,negative,0.325,0.43333333333333335
77,77,1496625531135184905,2022-02-23 23:18:27+00:00,kim9973,,3544,2490,2,A RIOT OF RUSSOPHOBIC FERVOR HOW FAR WILL THE WEST NOW GO BOJO Donbass Donbas Donetsk Lugansk Luhansk Putin Moscow Russia Ukraine UkraineRussie UkraineConflict UkraineCrisis UkraineRussia UkraineRussiaConflict RussiaUkraineCrisis War,-0.94,negative,0.1,1.0
78,78,1496625508578070530,2022-02-23 23:18:21+00:00,GeorgeAAlvarez1,"1/3 CA, 1/3 Las Vegas 1/3 Mexi",6721,6258,108,Wednesday Meet and Greet We must fight for our Democracy VoteBlue in the primary and MidTermsInteract by leaving your message meme or gif under Your VOTE is Your VOICE in 2022RussiaUkraineCrisis Biden RegisterToVote UkraineRussia VoteBlueToSaveDemocracy,-0.020000000000000004,neutral,0.4,0.5
81,81,1496625244399976459,2022-02-23 23:17:18+00:00,Doge4faithfull,Starbase-USA-Terra,2262,2554,7,Interesting times debating amp discussing the future of the world With former morganstanley Chief EconomistSmart qs from the AsiaSociety members on the future of US china ties in light of whats happening in ukraine amp russia UkraineRussia,0.49,neutral,0.18,0.29
109,109,1496621409313124356,2022-02-23 23:02:04+00:00,C11katao,山北機関区,1988,2510,15,Footage shows Donetsk Peoples Republics DPR Peoples Militia T64 amp T72 Tanks and APC convoy reportedly moving towards the Axis of Mariupol controlled by Ukrainian Government RussiaUkraineCrisis Ucraina ucraine Ukrainekrise UkraineRussia UkraineRussie Ukraina,-0.59,negative,0.0,0.0
110,110,1496621292916776961,2022-02-23 23:01:36+00:00,Chandra0816,"New Port Richey, FL",614,460,0,I am not mentally prepared for a world war ukrainerussia,-1.0,negative,0.05,0.2
113,113,1496620977777745928,2022-02-23 23:00:21+00:00,Andy_N3wland,Somerset. Recommends,4993,2457,1,Watching Peston currently and found it a real positive to see some early agreement between JeremyHunt and jessphillips on the worrying and developing UkraineRussia conflict and Putin,-0.9099999999999999,negative,0.14696969696969697,0.5060606060606061
118,118,1496620729697144833,2022-02-23 22:59:22+00:00,Mabbes1408,"Omnipresent, aren't you?!",2359,1198,0,Is Natalia Russias attempt at creating its own Baghdad Bob Newsnight ukrainerussia,-0.07,neutral,0.6,1.0
125,125,1496620097037025284,2022-02-23 22:56:51+00:00,Joshua_Micheal3,,687,104,12,Map of troops dispersed across UkraineRussiaUkraine 205kRussia 190kUS troops 47kNato 4000UkraineRussiaCrisis,-0.43,neutral,0.0,0.0
130,130,1496619818124193799,2022-02-23 22:55:45+00:00,dinuk_perera,colombo,1599,114,1,RussiaUkraineCrisis What to know as world awaits next moves Read UkraineRussiaCrisis UkraineRussia,-0.92,negative,0.0,0.0
147,147,1496617693255901185,2022-02-23 22:47:18+00:00,p_ehlich,United States,452,248,1,UkraineRussia Ukraine member of Parliament Alona Shkrum reports that Parliament has voted for a state of emergency on the whole of Ukraine She stated We are preparing for a very hard nightOur population is angry and ready to protect our land and freedom,-0.94,negative,-0.11979166666666667,0.6510416666666666
151,151,1496616488932945927,2022-02-23 22:42:31+00:00,PatriceGoldBird,,1434,1327,2,The Kiev Territorial Defense Forces are provided with NATO NLAW and M141 grenade launchers Andrey Voilokov Deputy Chief of Staff of the Territorial Defense Forces of the Armed Forces of Ukraine UkraineRussie UkraineRussiaCrisis Ucrainarussia UkraineRussia,-0.52,negative,0.0,0.0
153,153,1496616159168323597,2022-02-23 22:41:12+00:00,vit1489,Ukraine,57,21,0,Do Russian soldiers need Covid19 certificate to invade Ukraine Asking for a friend UkraineRussia IStandWithUkraine,-0.52,negative,0.0,0.0
156,156,1496615668740988929,2022-02-23 22:39:15+00:00,MENCardinal,,293,463,9,Do not believe the lies coming from the US State Russia is NOT the aggressor hereNoWarWithRussia UkraineRussia NATO,0.19999999999999996,positive,0.0,0.0
160,160,1496615182872694789,2022-02-23 22:37:20+00:00,LeeRudnicki,Los Angeles/Roma,80,513,0,DEEP THOUGHT Six months ago Soviet Union Threatens to Blow Up the Moon was not a foreseeable headline UkraineRussiaCrisis UkraineWillResist cnn UkraineRussia PutinsWar Russia tucker RussiaUkraineCrisis nytimes,-1.0,negative,0.0,0.4
175,175,1496613486650183680,2022-02-23 22:30:35+00:00,rob_connections,"Harbor Town, Memphis, TN, USA",5001,2567,0,TheEconomist Eight years ago after Russia annexed Ukraines Crimean Peninsula the USA and its allies harshly condemned the invasion and imposed economic sanctions on Russia Their economy after a recession started growing again Vladimir Putin remains in control UkraineRussia,-0.98,negative,0.0,0.44999999999999996
178,178,1496613244965904384,2022-02-23 22:29:37+00:00,lalitapetila,,3948,4412,34,CorbynWasRight and so was Stop the War All too often Britain is the aggressorWatch the video and read this brilliant article UkraineRussiaCrisis UkraineConflict UkraineCrisis ukrainerussia,-0.98,negative,0.9,1.0
180,180,1496613087738216452,2022-02-23 22:29:00+00:00,Jonniev31977269,,2,3,10,Ukrainian saboteurs planned to blow up a railway bridge along which a train with refugees was supposed to pass to Russiaukrainerussia RussiaUkraineCrisis Ukraina,-0.99,negative,0.0,0.0
192,192,1496611517743374337,2022-02-23 22:22:46+00:00,ElaurantScott,Adelaide,226,220,0,The people of the Ukraine have taken great comfort from Australias condemnation of Russian aggression and ban on selling alumina to Russia for arms makingNo sorry just the first bit We are impotentauspol UkraineRussia ScottyTheAnnouncer,-0.8899999999999999,negative,0.1375,0.5208333333333334
205,205,1496610542059929601,2022-02-23 22:18:53+00:00,AgencEurope,Bruxelles,2042,7162,0,RUSSIA eucopresident calls for extraordinary inperson EUCO summit tomorrow 25 Feb to discuss latest developments in UkraineRussia conflict,-0.59,negative,0.41666666666666663,0.95
206,206,1496610387738906625,2022-02-23 22:18:16+00:00,RPareggiani,"Bruxelles, Belgium",642,96,0,Reports of cross river battle between Russian backed separatists and Ukraine at Seversky UkraineRussiaCrisis UkraineRussia,-0.96,negative,0.0,0.0
210,210,1496609826779979776,2022-02-23 22:16:03+00:00,kingonb51,"Anantnag , kashmir.",75,42,0,Reports of cross river battle between Russian backed separatists and Ukraine at SeverskyUkraineRussiaCrisis UkraineRussia,-0.96,negative,0.0,0.0
216,216,1496609108505489409,2022-02-23 22:13:11+00:00,Creole1955,,81,19,0,UkraineRussia Diplomacy is in the refrigerator the doors closed the lights out the eggs are cooling the butters getting hard and the jellos jiggling,-0.99,negative,-0.19583333333333336,0.3208333333333333
224,224,1496608388221849604,2022-02-23 22:10:20+00:00,galsmolar,,180,1190,1,UkraineRussia Kharkiv which has been thought of as the beginning point of Putins full scale invasion has just temporarily shut down its airport,-0.94,negative,0.0972222222222222,0.4194444444444445
225,225,1496608369171316738,2022-02-23 22:10:15+00:00,SoundmaxDJlive,"Vancouver, BC",4999,934,0,Just submitted paperwork for Freelance Media Pass to cover Joint Forces in Ukraine ukraine ukraineconflict ukrainerussiacrisis ukrainecrisis ukrainerussia ukraineinvasion standwithukraine support Ukrainians,0.37,neutral,0.0,0.0
226,226,1496608286065500167,2022-02-23 22:09:55+00:00,AndrMy1,ALL - WORLD ,74,5,0,its tense but not yetRussiaUcraina Ukraine RussiaUkraineConflict UkraineRussiaCrisis UkraineConflict UkraineCrisis ukrainerussia RussiaUkraine RussiaInvadedUkraine russianinvasion Russian RussiaInvadedUkraine ElderRing BreakingNews BREAKING,-0.98,negative,-0.16666666666666666,0.25
231,231,1496607932431097862,2022-02-23 22:08:31+00:00,Londoner_Tony,"London, England",476,476,0,Interesting Ukraine Putin ukrainerussia,0.78,positive,0.5,0.5
236,236,1496607549747089409,2022-02-23 22:07:00+00:00,ShirinSherbok2,,1761,1746,2,syedalizia1992 The is not changing it has already changed for good In Sha Allah PMIK visit to Russia will prove to be a gamechnger China POTUS ukrainerussia SMQureshiPTI BBCWorld AJEnglish CassThinkers RomeoCharlie29 faider JalilJilani YusufMoeed MariaSultanpk Defense785,0.13,neutral,0.7,0.6000000000000001
250,250,1496605957035548677,2022-02-23 22:00:40+00:00,georgekonio,,3555,201,0,Dont forget that in Donestkamp Mariupol there are 80k100k proud Greeks kmitsotakis UkraineRussie Ukraina UkraineRussia,0.48000000000000004,positive,0.8,1.0
251,251,1496605851259478023,2022-02-23 22:00:15+00:00,OliverNorff,"California, USA",3136,2300,0,CNN All sports events in Russia should be boycotted or cancelled until Russian troops leave Ukraine Ukraina ukrainerussia,-1.0,negative,0.0,0.0
258,258,1496605415341117443,2022-02-23 21:58:31+00:00,StanfordHP,"Stanford, CA",5219,7369,0,Our colleagues over at FSIStanford have a page devoted to the UkraineRussia conflict with expert analysis amp commentary by Stanford scholars Because war impacts global health,-0.98,negative,0.0,0.0
260,260,1496605199837843462,2022-02-23 21:57:39+00:00,Deploreable1,USofA,79,114,0,BREAKING NEWS UkraineRussiaIn the DPR LPR on the line of battle began to jam communications,-1.0,negative,0.0,0.0
268,268,1496604453176238087,2022-02-23 21:54:41+00:00,NewRootsinME,stolen Penobscot land,798,360,1,For speculatorsPosition yourself correctly and you can make a killing if the dogs of war are unleashed though if the hellhounds get sent back to their kennels its you who gets killed and the guy who bet on peace gets the champagne UkraineRussia,-1.0,negative,-0.1,0.0
276,276,1496602396453216265,2022-02-23 21:46:31+00:00,CGrecco69,"Athens, NY",7,2,5,Tanks spotted rolling through Luhansk UkraineRussia,-0.019999999999999997,neutral,0.0,0.0
285,285,1496600974739357708,2022-02-23 21:40:52+00:00,BhattiAliyar,,484,28,0,UkraineRussia little Britain running around yapping at Russia to impress its master USA,-0.10999999999999999,neutral,-0.1875,0.5
289,289,1496600526581997568,2022-02-23 21:39:05+00:00,SoundmaxDJlive,"Vancouver, BC",4999,934,0,elonmusk Freelance journalist from Canada prepares to travel to Ukraine for reporting and Humanitarian project like and share to show support ukraine ukraineconflict ukrainerussiacrisis ukrainecrisis ukrainerussia ukraineinvasion Ukrainians,0.05,neutral,0.0,0.0
294,294,1496600080844947456,2022-02-23 21:37:19+00:00,SoundmaxDJlive,"Vancouver, BC",4999,934,0,Pontifex Freelance journalist prepares to travel to Ukraine for reporting Humanitarian project Share to show support ukraine ukraineconflict ukrainerussiacrisis ukrainecrisis ukrainerussia ukraineinvasion standwithukraine support Ukrainians more info,0.13,neutral,0.5,0.5
297,297,1496599779052249089,2022-02-23 21:36:07+00:00,donaldhussle,"Accra, Ghana",98,1150,1,Oil Prices Surge As UkraineRussia Tension ClimbCityBusinessNews CityNews LatestNews BusinessNews NewsUpdate WorldNews News Update DailyNews DailyPost AllAfrica NaijaNews,-0.3,neutral,0.0,0.0
303,303,1496599467100831748,2022-02-23 21:34:53+00:00,AMcblast,Hanford,99,14,0,Guess Ill need to find a new country to import knockoff Warhammer miniatures from UkraineRussia,-0.98,negative,-0.18181818181818182,0.7272727272727273
304,304,1496599371021840388,2022-02-23 21:34:30+00:00,SoundmaxDJlive,"Vancouver, BC",4999,934,0,Freelance journalist from Canada prepares to travel to Ukraine for reporting and Humanitarian project like and share to show support ukraine ukraineconflict ukrainerussiacrisis ukrainecrisis ukrainerussia ukraineinvasion standwithukraine support Ukrainians SkyNewsBreak,0.01,neutral,0.0,0.0
313,313,1496598162487848961,2022-02-23 21:29:42+00:00,YishaiFleisher,Long Island of the West Bank,2865,15534,3,Good Israel should take no position on UkraineRussia and we should go about the business of defending ourselves and making our region prosper,1.0,positive,0.7,0.6000000000000001
322,322,1496596789897662468,2022-02-23 21:24:14+00:00,TweeterNorm,Quebec,96,17,0,World War 3 ukrainerussia BidenWorstPresidentEver WorldWarIII,-1.0,negative,0.0,0.0
331,331,1496595938319732744,2022-02-23 21:20:51+00:00,Assista28118413,,37,6,0,The war will begin any day help buy equipment for territorial defense RepostWarUkraineRussia UkraineRussia Putinvor NFTcharity NFTUkraine NFT NFTs NFTCommunity nftart Check out this item on OpenSea via opensea,-0.99,negative,0.0,0.0
333,333,1496595702469865482,2022-02-23 21:19:55+00:00,Assista28118413,,37,6,0,The war will begin any day help buy equipment for territorial defense RepostWarUkraineRussia UkraineRussia Putinvor NFTcharity NFTUkraine NFT NFTs NFTCommunity nftart via opensea,-0.99,negative,0.0,0.0
335,335,1496595216840605698,2022-02-23 21:17:59+00:00,jenxpaige,Bay Area 🌎,3114,2148,0,Is it just me or do all of Putins strongman moves have a SmallDickEnergy vibeUkraine UkraineRussia,-1.0,negative,0.0,0.0
346,346,1496594078275940353,2022-02-23 21:13:28+00:00,Morrigan3diosa,Avalon,1164,845,1,Why French Politicians amp Media Dont Buy Into USUKNATOs Coverage of Ukrainian CrisisDonbass Donbas Donetsk Lugansk Luhansk Putin Moscow Russia Ukraine UkraineConflict UkraineCrisis UkraineRussia UkraineRussiaConflict RussiaUkraineCrisis,-0.99,negative,0.0,0.0
351,351,1496593766819319815,2022-02-23 21:12:14+00:00,wizzario,San Diego,520,199,0,DOW down 5d straight 10 since its peak Ukraine invasion jitter or the incompetence of our so called global leaders making a mess of things In those situations retail investors get hit hardest not to mention m price increases associated w geopolitical unrest UkraineRussia,-1.0,negative,-0.03263888888888889,0.21597222222222223
352,352,1496593745067876371,2022-02-23 21:12:08+00:00,RespectIsVital,"Culbokie, Scotland",41585,52178,4,Kyiv doesnt need Donbas inhabitants it only needs its land Again refers to Ukr genocide in DonbasSecGen says that claim is rubbishThis conflict is by no means overWarn you ceasefire will be monitored by RuWill not go softysofty wany violatorsUkraineRussia,-1.0,negative,0.0,1.0
355,355,1496593496504881153,2022-02-23 21:11:09+00:00,ashtonhigbee,"Medford, OR",351,356,0,God Help Us AllUkraineRussia,0.59,positive,0.0,0.0
379,379,1496591229026406402,2022-02-23 21:02:08+00:00,practicalwin,"Newport Beach, CA",881,959,0,UkraineRussia watching Putins behavior et al anyone who lived during the ColdWar KNOWS we CANNOT let this Dictator overrun Ukraine Even if it means a shooting war NATO should strike first with a followup action that makes a Russian response suicidal Make an example,-1.0,negative,0.11666666666666665,0.14444444444444446
398,398,1496589138790866959,2022-02-23 20:53:50+00:00,KlineMobileWeb,,30,8,0,UkraineRussiaSNL Two Wild and Crazy Guys via YouTube,-0.99,negative,-0.25,0.65
407,407,1496588474346053633,2022-02-23 20:51:12+00:00,luvzztop,"Maryland, USA",1273,858,3,Ukraine has urged its citizens to leave Russia immediately the countrys foreign ministry announced on Wednesday Zelenskyy has also called up reservists aged 18 to 60 for a maximum service of one year according to Reuters and the BBCUkraineRussiaCrisis UkraineRussia,-0.79,negative,-0.1125,0.2625
414,414,1496587669605863430,2022-02-23 20:48:00+00:00,ToweC,,3737,3761,3,BreakingNews URGENT UkraineRussiaNot only internet but now reports of television being cut off in parts of Donbass,-0.83,negative,0.0,1.0
422,422,1496586764751880203,2022-02-23 20:44:24+00:00,KlineMobileWeb,,30,8,0,UkraineRussiaPutin claims Ukraine provoking war by evacuating saying it makes it difficult to hit a moving target,-1.0,negative,-0.5,1.0
425,425,1496586726118244352,2022-02-23 20:44:15+00:00,LovelydayTech,,480,580,5,JOE BIDEN HAS BEEN 5678 MOVES AHEAD OF THE FASCIST Russian DICTATOR VladimirPutinVladimirPutin Putin PutinIsaWarCriminal Russia Ukraine UkraineRussia Biden JoeBiden POTUS POTUS WhiteHouse WhiteHouse,-0.74,negative,0.0,0.0
430,430,1496586331459403785,2022-02-23 20:42:41+00:00,aizaz700,"Mianwali, Pakistan",734,203,1,Look who has just landed in Moscow a war zone May Allah Bless him with health and happiness always Ameen ImranKhan Pakistan Russia China POTUS ukrainerussia bbcnews RomeoCharlie29 faider 1Abdulbasit1 JavedIqbalReal skylimiter,0.04999999999999999,neutral,0.7,0.2
438,438,1496585896338075652,2022-02-23 20:40:57+00:00,OneDarkEnigma,"London, England",891,200,1,The Internet Is Debunking Russian War Propaganda in Real Time UkraineRussia,-1.0,negative,0.03333333333333333,0.13333333333333333
441,441,1496585718793125889,2022-02-23 20:40:15+00:00,MaggieValenti0,"Connecticut, USA",5001,277,0,Kenyan ambassador to the UN Martin Kimani gave a speech to the Security Council on Monday that has since made headlines around the worldKenyaDefendsUkraine Kenya Russia RussiaUkraineConflict UkraineRussiaCrisis UkraineRussia UkraineInvasion,-0.6,negative,0.0,0.0
449,449,1496585351720316934,2022-02-23 20:38:47+00:00,Jonniev31977269,,2,3,1,Ukraine ordered 1000 set of charkhas and passed a budget for 100 Gandhi statue in UkraineUkraineRussie UkraineRussiaConflict ukrainerussia Moscow istandwithrussia,-0.69,negative,0.0,0.0
453,453,1496585097868414980,2022-02-23 20:37:47+00:00,NikolasKozloff,"Brooklyn, NY",28,860,0,Hardly surprising Russia will evade sanctions via criminal underworld amp climateunfriendly Bitcoin My take here RussiaUkraineConflict RussiaInvadedUkraine RussianArmy Ukraine UkraineConflict UkraineRussia Ukrainian Kyiv,-0.97,negative,0.14999999999999997,0.525
463,463,1496584682015801352,2022-02-23 20:36:08+00:00,williamjohnbird,UK ,3456,2817,1,We now have some Tory twerp evoking the Crimean War Totally normal diplomacy UkraineRussia ChargeoftheLightBrigade,-0.99,negative,0.15,0.6499999999999999
471,471,1496583958603223041,2022-02-23 20:33:15+00:00,MargarytaRuchko,Украина,26,5,0,Heres an example all the Russians do is rebuke and banter with the Germans for some reason they never let go of the situation in WW2 Why should the Ukraine forget and forgive you Russia RussiaInvadedUkraine UkraineRussia,-1.0,negative,0.0,0.0
477,477,1496583560962228227,2022-02-23 20:31:40+00:00,FCNightingale,Global,13176,18289,0,The US has issued a warning to the Ukrainian government that the latest intelligence points to Russia imminently launching a fullscale invasion according to Ukrainian US and western officials familiar with the matterUkraineRussia Ukraine,-0.99,negative,0.2916666666666667,0.4666666666666666
479,479,1496583371245322241,2022-02-23 20:30:55+00:00,THESECRETINTER1,kpk pakistan,1657,20,2,US president Joe Biden says we are strongly stand with our alliance Russia steels Ukrainian territory and demolish Ukrenian sovereigntyBiden bidenonrussia russiaukraine Ukraine ukrainerussia USA joebiden purine veladimeerputine national nato,-0.5,negative,0.4333333333333333,0.7333333333333333
482,482,1496583141061918721,2022-02-23 20:30:00+00:00,IrishMirror,Dublin,957,46056,0,Frightening stuff UkraineRussia UkraineCrisisUkraineInvasion,-1.0,negative,-0.5,1.0
485,485,1496583000494067712,2022-02-23 20:29:27+00:00,_Synseren,,50,4,0,A wise man said war is struggle between wills Finlands will in 1939 was stronger than Stalin expected Afganistans will in 2021 was weaker that Biden expected How will Ukraines will be compared with Putins expectations russia russland UkraineRussia ukraine,-1.0,negative,0.16666666666666666,0.5666666666666668
491,491,1496582607122874368,2022-02-23 20:27:53+00:00,hasurajawat05,,81,1,1,Ukraine declared one month State emergencyIStandWithUkraine UkraineRussiaCrisis UkraineRussia Russia RussiaUkraineConflict Kiev Ukrainian PutinsPuppet Russia Russian,-0.89,negative,0.0,0.0
492,492,1496582594493833228,2022-02-23 20:27:50+00:00,IAMKINGRICHARD,"Memphis, TN aka Murder Town",1120,1268,0,Official music video for KingRichard IGotItPoppinoff the album ThePortaitOfAKingWATCH FULL VIDSTREAMDOWNLOAD ALBUMKME hiphop Trending Wednesday JQueenDaGoddess KingRichard UkraineRussia,0.01,neutral,0.35,0.55
495,495,1496582351601778691,2022-02-23 20:26:52+00:00,Vakil_e_Roaya,Tehran,3147,4496,1,The Rest is History podcastUkraine Russia UkraineRussia,0.0,neutral,0.0,0.0
513,513,1496581011089547274,2022-02-23 20:21:32+00:00,KlineMobileWeb,,30,8,0,UkraineRussiaThis is what we get for helping the Russians defeat the Nazis in World War II and then after what they did to us in Vietnam with the North Yeah very cunningLike claiming bone spurs for a deferment when it was really just all the fat youre carrying aroun,-0.98,negative,0.2,0.25
516,516,1496580907855196160,2022-02-23 20:21:08+00:00,cheveryn,Denmark,2642,851,0,Chelsea should be banned disbanded and relegated 6 League down UkraineRussia,-0.98,negative,-0.15555555555555559,0.2888888888888889
522,522,1496580495362211840,2022-02-23 20:19:29+00:00,shafiazam,"Markham, Ontario, Canada",327,401,2,OfficialAjan betterpakistan Look who has just landed in Moscow a war zone May Allah Bless him with health and happiness always Ameen ImranKhan Pakistan Russia China POTUS ukrainerussia bbcnews RomeoCharlie29 faider JavedIqbalReal,0.06,neutral,0.7,0.2
528,528,1496580099768000514,2022-02-23 20:17:55+00:00,trippintraci,United States,841,1244,0,Gas Price Relief Act Gas Tax Holiday Gas Apps amp Other Ways to Save Mo via YouTube gasprices GasPrice gas gasoline gasfees gastax UkraineRussia UkraineRussiaCrisis biden inflation gasapp savemoney money trippintraci vanlife rvlife,0.0,neutral,-0.125,0.375
533,533,1496579928145416200,2022-02-23 20:17:14+00:00,JonTripathi,"Cumwhinton, England",210,364,0,JP Morgan hypothesis incase of UkraineRussia crisis isnt resolved amicably if NordStream2 does NOT commence in 2023 JPM expects European natural gas market to find itself in a perpetual competition for LNG ultimately manifesting in higher prices for longer,-0.96,negative,0.0875,0.475
535,535,1496579889054556166,2022-02-23 20:17:05+00:00,Real_Talk_News1,America ,854,444,0,As Joe Bidens foreign policy and the Russian Ukraine crock conflict crashes and burns as Putin takes two satellite states from Ukraine just like he did under Obama Joe Biden when he did Crimea Americas will pay a higher gas prices due to Bidens compromised actions UkraineRussia,-0.98,negative,0.0,0.25
551,551,1496578694995128320,2022-02-23 20:12:20+00:00,steveTHEbacon_,Montreal,1795,366,0,Its as if the US republican party is taking the UkraineRussia situation as if it was a political gameI wish there were more grownups in that partyThis is no game,-0.71,negative,0.2333333333333333,0.3333333333333333
565,565,1496577962782699522,2022-02-23 20:09:26+00:00,interestedbys10,Worcestershire ,4678,3653,2,Isnt it a good opportunity to send Truss for a photoshoot in Ukraine about now IStandWithUkraine JohnsonOut30 ukrainerussia,-1.0,negative,0.7,0.6000000000000001
573,573,1496577719492132866,2022-02-23 20:08:28+00:00,friendofkorg,"West Suffolk, England",1449,1869,0,In case Mr Putin needs a geography lesson UkraineRussia,-0.020000000000000004,neutral,0.0,0.0
581,581,1496577266238861316,2022-02-23 20:06:39+00:00,steveTHEbacon_,Montreal,1795,366,0,Western democracies have strength Putin doesnt have Even though there is criticism at least 23rds if not more of democratic populations are behind their gvmts in this situation while under Putins authoritarian regime you can bet his real support is weakUkraineRussia,-0.8799999999999999,negative,-0.15,0.38
582,582,1496577262493343750,2022-02-23 20:06:39+00:00,EppleMedia,South Africa ,4772,1486,0,Blue Dog NewsDigest PIX11News Ukraines parliament votes to declare a state of emergencyReporterDiary UkraineRussiaCrisis UkraineRussia,-0.51,negative,0.0,0.1
592,592,1496576424555462656,2022-02-23 20:03:19+00:00,journojoseph,New Delhi | Gurgaon ,36,715,3,Ukraine crisis may not worsen If it does global consequences can be unpredictable including for India and heres why the country cant continue with ostrich foreign policy UkraineRussia UkraineRussiaCrisis,-1.0,negative,-0.09722222222222221,0.375
